#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
159.0,Guinea,36597,,442.0,,36113.0,,42.0,8.0,2651.0,32.0,660107.0,47817.0,13804722.0,377.0,31232.0,21.0,,,3.0
160.0,Aruba,36316,,213.0,,35808.0,,295.0,,337443.0,1979.0,177885.0,1652884.0,107621.0,3.0,505.0,1.0,,,2741.0
161.0,Tanzania,35354,,840.0,,,,,7.0,562.0,13.0,,,62943462.0,1780.0,74933.0,,,,545.0
162.0,Faeroe Islands,34658,,28.0,,,,,5.0,704245.0,569.0,778000.0,15808831.0,49213.0,1.0,1758.0,0.0,,,547355.0
163.0,Bahamas,34303,29.0,810.0,,32627.0,34.0,866.0,,85686.0,2023.0,235192.0,587489.0,400334.0,12.0,494.0,2.0,72.0,,2163.0
164.0,Lesotho,32910,,697.0,,24155.0,,8058.0,,15136.0,321.0,431221.0,198327.0,2174295.0,66.0,3120.0,5.0,,,3706.0
165.0,Mali,31057,1.0,734.0,,30163.0,2.0,160.0,,1455.0,34.0,680242.0,31860.0,21351015.0,687.0,29089.0,31.0,0.05,,7.0
166.0,Haiti,30746,,835.0,,29651.0,,260.0,,2636.0,72.0,132422.0,11352.0,11664819.0,379.0,13970.0,88.0,,,22.0
167.0,Isle of Man,28416,,105.0,,26794.0,,1517.0,,330873.0,1223.0,150753.0,1755350.0,85882.0,3.0,818.0,1.0,,,17664.0
168.0,Benin,26952,,163.0,,25506.0,,1283.0,5.0,2119.0,13.0,604310.0,47501.0,12722176.0,472.0,78050.0,21.0,,,101.0
169.0,Somalia,26521,,1350.0,,13182.0,,11989.0,,1585.0,81.0,400466.0,23938.0,16729589.0,631.0,12392.0,42.0,,,717.0
